play_id,title,ExitVelocity,HitDistance,LaunchAngle,video
5fd90ffa-2f59-49c3-906f-531fa7aa839b,Anthony Volpe hits a grand slam (1) to left center field.   Aaron Judge scores.    Jazz Chisholm Jr.  scores.    Giancarlo Stanton scores.,107.6,390.3858104,19,https://sporty-clips.mlb.com/SzQ3QU5fV0ZRVkV3dEdEUT09X0ExY0ZYVlJTQUZNQUNnUUhYd0FBQ0ZWVkFGZ0ZWUWNBQjFZRVZsSUNVRkpkQXdzRQ==.mp4
08286940-26d1-411d-b53c-1897085657ac,Aaron Judge homers (3) on a fly ball to right center field.    Juan Soto scores.,108.9,402.6063006,28,https://sporty-clips.mlb.com/NnkzWVdfV0ZRVkV3dEdEUT09X0JnbFRYRklOVWdJQUNsUldWd0FBQUFjQ0FBTUFVQUlBQTEwTUJ3TU5CQVZRQjFNRg==.mp4
01d4ea9b-8945-425c-94a1-374cb051b7fb,Giancarlo Stanton homers (7) on a fly ball to right field.,105.4,384.8852023,27,https://sporty-clips.mlb.com/NnkzWVdfV0ZRVkV3dEdEUT09X0JnQUZVQUZWWDFBQUFGc0dVd0FBQXdNRkFGZ0JBbEFBQVZJQlUxRUZCQUlIQjFRRQ==.mp4
7c50a003-1df5-41ef-b0c1-500d7b69e1da,Juan Soto homers (4) on a fly ball to right field.,105.4,385.5304091,37,https://sporty-clips.mlb.com/TkFWOHpfV0ZRVkV3dEdEUT09X0FWSlVWQVVFVmdFQUNRWlVVd0FBQUZNQUFBTUZBRkFBQjFVRlZBUlhCd29BQVZZSA==.mp4
18fde112-9335-476a-9dcc-132232394998,Tommy Edman homers (2) on a fly ball to left field.,101.5,354.6163515,38,https://sporty-clips.mlb.com/TkFWOHpfV0ZRVkV3dEdEUT09X0J3a0hBQUVGVndBQUFWRUJVd0FBQmdBSEFGaFJBQUlBQTFZSEFnQUhBZ3BSQ1F0ZQ==.mp4
104caa58-f7fc-4fd2-8409-2e498a04073d,Teoscar Hernández homers (3) on a fly ball to right center field.    Mookie Betts scores.,107.9,392.4722324,28,https://sporty-clips.mlb.com/TkFWOHpfV0ZRVkV3dEdEUT09X0J3RlZCd1ZWVXdvQVhsVlVCUUFBVjFKVUFGa0JVMWdBQUFBQkNRdFVBUWRWQndFQw==.mp4
7da37e8a-71ad-433a-a1f4-eb4b05305b65,Austin Wells homers (2) on a fly ball to right field.,107,383.5018115,31,https://sporty-clips.mlb.com/SzQ3QU5fV0ZRVkV3dEdEUT09X0FWVUFWMU5SWGxNQUQxTlRBZ0FBQWdVSEFBQUVCVlVBVndjQlVnTUFBZ05RVWdSVA==.mp4
46f5d20d-1142-4a24-893d-c753b4813684,Giancarlo Stanton homers (6) on a fly ball to left field.   Juan Soto scores.,116.6,412.2514444,35,https://sporty-clips.mlb.com/MTYyVlZfV0ZRVkV3dEdEUT09X0FnY0hVUUFHVmxZQUNWTUdWQUFBVUFSU0FGa01VQVVBVVZJQUExRUJDUUpXQmdwUw==.mp4
560a2f9b-9589-4e4b-95f5-2ef796334a94,Freddie Freeman hits a grand slam (1) to right field.   Chris Taylor scores.    Tommy Edman scores.    Mookie Betts scores.,109.8,412.8222702,30,https://sporty-clips.mlb.com/MTYyVlZfV0ZRVkV3dEdEUT09X0F3ZFJCVlpTWDFBQUFWY0tYd0FBVkFJRUFGZ0FCVlFBQUFCVEJ3b0RBZ0JSVVF0Uw==.mp4
fcdb79f8-8bbe-4581-8056-14ba7c77e9bc,Freddie Freeman homers (3) on a fly ball to right field.    Shohei Ohtani scores.,100.3,354.5514592,29,https://sporty-clips.mlb.com/OTd2WEdfV0ZRVkV3dEdEUT09X1VGSUZCbE1OQUFvQUFBQlFBd0FBQkE1WEFGa0ZWbGNBQTFGWFVRUldCZ1FBQ1ZBRg==.mp4
ef0afacc-31c1-450b-92a2-f5a3dce79b1e,Jazz Chisholm Jr.  homers (2) on a fly ball to right center field.,103.8,396.7817646,37,https://sporty-clips.mlb.com/NnkzWVdfV0ZRVkV3dEdEUT09X1UxZFJCUUpWQlZFQUMxTlJWd0FBQkFZRUFGZ0hBbE1BVkZCVUExZFdWQVJjVWdNRA==.mp4
89ce48ec-e231-4aa8-96dd-c9c0c2b83f99,Gleyber Torres homers (2) on a fly ball to right center field.    Austin Wells scores.    Alex Verdugo scores.,103.5,366.2151251,26,https://sporty-clips.mlb.com/SzQ3QU5fV0ZRVkV3dEdEUT09X0RnZ0NBVkFNQTFFQVhWQUJWd0FBVUZkZUFGZ0RCd1VBVVZ4V0FGQUhVd3RXVmd0Zg==.mp4
b135837c-79f4-44f2-a7ce-446c4267e071,Alex Verdugo homers (1) on a fly ball to right center field.    Anthony Rizzo scores.,100.5,372.6751421,28,https://sporty-clips.mlb.com/OTd2WEdfV0ZRVkV3dEdEUT09X1ZBQlNVVndIVVZFQUQxdFVVZ0FBQlZCVUFBQUNBQVFBQmxFRFV3Y0hCd1FBQUFWWA==.mp4
7e5bf3b3-98ef-4ffe-b84e-e8bc9cd09519,Freddie Freeman homers (2) on a fly ball to right center field.,108.7,401.1598878,25,https://sporty-clips.mlb.com/TkFWOHpfV0ZRVkV3dEdEUT09X0FWUlVCZ0lIQkFFQUFWcFhBQUFBVjFBREFBTU5Wd1FBVjExWFV3cFdWUU5jQlFOZg==.mp4
2442108b-de7a-4171-8d20-636f268d9407,Freddie Freeman homers (4) on a line drive to right field.    Mookie Betts scores.,106.6,342.5876674,23,https://sporty-clips.mlb.com/SzQ3QU5fV0ZRVkV3dEdEUT09X0JBVlZWbFVFWGxBQVhBY0ZCd0FBQUFGWEFGbFJVVkVBQkZZRFZnRURDVmRjQkFKUg==.mp4
fffc8d79-c4d4-4d74-85f3-bccb4f5c8abf,Will Smith homers (3) on a fly ball to right center field.,97.2,364.4981249,28,https://sporty-clips.mlb.com/SzQ3QU5fV0ZRVkV3dEdEUT09X1VGY0hCMXhRVVFzQVcxWldVZ0FBVlFGU0FGa0FCVklBVUFaV1VnZFRCRkJkVVZBQQ==.mp4
5d3e0e9f-d22c-4f86-9f43-d6823b667dcf,Fernando Tatis Jr.  homers (1) on a fly ball to left center field.   Luis Arraez scores.,112.8,415.1098489,39,https://sporty-clips.mlb.com/R0JxQUJfV0ZRVkV3dEdEUT09X0ExVlNBVlJSWDFRQVhGQUFCUUFBVnc1UUFGaFRWMUlBVmxNTkFnQlhCd1ZTVkZFQQ==.mp4
7fdfd210-b6d6-4b5c-a905-83e2edb5461e,Pete Alonso homers (1) on a line drive to right center field.    Francisco Lindor scores.    Brandon Nimmo scores.,105,367.1650501,22,https://sporty-clips.mlb.com/a0RZT0JfV0ZRVkV3dEdEUT09X0FWY0ZBZ0FHVndJQVdsUldVQUFBVXdNRkFBQU1VMVFBQ2xaUUFsWlJVd1pSQmdNRA==.mp4
d097f5c0-e86f-49c9-9353-852ca5d16c2e,Jorge Soler homers (1) on a fly ball to center field.,109,424,27,https://sporty-clips.mlb.com/RDF2ZXlfV0ZRVkV3dEdEUT09X1VnRllVd0lCQlFJQVhWb0VBQUFBQ0ZWZkFGZ0dWbElBQ2xBSFUxSUFWUUpUVXdBRA==.mp4
